"gender","age","marital_status","highest_qualification","nationality","gross_income","region","smoke"
"Female",69,"Married","Without","British","Low","Midlands & East Anglia","No"
"Female",23,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",33,"Single","University","English","Moderate","Midlands & East Anglia","Yes"
"Male",79,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",21,"Single","A Levels","English","Low","Midlands & East Anglia","No"
"Female",37,"Separated","GCSE","British","Low","Midlands & East Anglia","No"
"Male",40,"Married","GCSE","English","Low","Midlands & East Anglia","Yes"
"Female",34,"Separated","Sub Degree","English","Low","Midlands & East Anglia","Yes"
"Male",28,"Single","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",44,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",64,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",51,"Separated","Without","English","Moderate","Midlands & East Anglia","No"
"Male",21,"Single","ONC","English","Moderate","Midlands & East Anglia","Yes"
"Male",40,"Single","GCSE","English","Low","Midlands & East Anglia","Yes"
"Female",42,"Single","GCSE","British","Low","Midlands & East Anglia","No"
"Female",47,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Male",73,"Separated","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",18,"Single","Sub Degree","British","Low","Midlands & East Anglia","Yes"
"Male",24,"Single","GCSE","British","Moderate","Midlands & East Anglia","No"
"Female",69,"Separated","GCSE","British","Low","Midlands & East Anglia","No"
"Female",61,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",80,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",80,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",26,"Single","GCSE","English","Low","Midlands & East Anglia","No"
"Female",34,"Separated","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",34,"Married","University","British","High","Midlands & East Anglia","No"
"Female",39,"Single","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Male",33,"Married","Sub Degree","English","Low","Midlands & East Anglia","Yes"
"Male",36,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",39,"Separated","Without","British","Moderate","Midlands & East Anglia","No"
"Male",35,"Married","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",89,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Female",23,"Married","University","British","Low","Midlands & East Anglia","Yes"
"Female",32,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",32,"Married","Without","Other","Low","Midlands & East Anglia","Yes"
"Male",35,"Married","GCSE","British","Low","Midlands & East Anglia","Yes"
"Female",18,"Single","A Levels","British","Low","Midlands & East Anglia","No"
"Male",44,"Separated","University","English","Moderate","Midlands & East Anglia","No"
"Female",75,"Married","GCSE","Other","Low","Midlands & East Anglia","No"
"Female",65,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",54,"Married","ONC","British","Moderate","Midlands & East Anglia","No"
"Male",32,"Married","GCSE","English","High","Midlands & East Anglia","No"
"Female",57,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",50,"Married","Sub Degree","British","Moderate","Midlands & East Anglia","Yes"
"Female",58,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",30,"Married","University","English","Low","Midlands & East Anglia","No"
"Female",57,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",60,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",78,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",44,"Married","Without","English","Moderate","Midlands & East Anglia","Yes"
"Male",32,"Single","ONC","British","High","Midlands & East Anglia","Yes"
"Female",56,"Separated","Sub Degree","English","High","Midlands & East Anglia","No"
"Male",51,"Married","Sub Degree","Scottish","Moderate","Midlands & East Anglia","No"
"Male",71,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",74,"Separated","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",56,"Single","University","English","Moderate","Midlands & East Anglia","Yes"
"Female",80,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",51,"Married","ONC","English","Moderate","Midlands & East Anglia","No"
"Female",53,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",80,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",42,"Married","University","British","Moderate","Midlands & East Anglia","Yes"
"Female",82,"Separated","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Male",58,"Married","A Levels","British","Low","Midlands & East Anglia","No"
"Female",78,"Married","University","English","Moderate","Midlands & East Anglia","No"
"Male",61,"Married","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",49,"Single","Without","British","Moderate","Midlands & East Anglia","Yes"
"Female",51,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",48,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",37,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",51,"Married","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Male",55,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",48,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Female",82,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",56,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",71,"Separated","GCSE","English","Low","Midlands & East Anglia","No"
"Male",30,"Single","Without","English","Low","Midlands & East Anglia","No"
"Female",73,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",35,"Married","GCSE","English","Low","Midlands & East Anglia","Yes"
"Male",79,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",75,"Separated","Without","English","Low","Midlands & East Anglia","Yes"
"Female",49,"Married","ONC","English","Low","Midlands & East Anglia","No"
"Female",74,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",33,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",81,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",63,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",78,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",68,"Separated","Without","English","Low","Midlands & East Anglia","Yes"
"Male",73,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",34,"Married","A Levels","English","Moderate","Midlands & East Anglia","No"
"Female",36,"Separated","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",16,"Single","Without","English","Low","Midlands & East Anglia","No"
"Male",72,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",66,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",41,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Female",49,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","Yes"
"Male",42,"Single","Without","British","Moderate","Midlands & East Anglia","No"
"Female",54,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",70,"Married","Sub Degree","British","Moderate","Midlands & East Anglia","No"
"Female",29,"Married","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",44,"Married","Sub Degree","English","High","Midlands & East Anglia","No"
"Male",27,"Single","University","English","Moderate","Midlands & East Anglia","Yes"
"Male",68,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Female",80,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",85,"Separated","Without","English","Moderate","Midlands & East Anglia","No"
"Male",65,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",88,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",81,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",44,"Separated","University","British","Low","Midlands & East Anglia","Yes"
"Female",34,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",55,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Male",82,"Single","Without","British","Low","Midlands & East Anglia","No"
"Female",77,"Separated","Sub Degree","English","Low","Midlands & East Anglia","No"
"Male",19,"Single","GCSE","English","Low","Midlands & East Anglia","No"
"Female",74,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Female",57,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",44,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",43,"Married","University","British","High","Midlands & East Anglia","No"
"Female",57,"Separated","Without","Welsh","Low","Midlands & East Anglia","No"
"Male",17,"Single","GCSE","English","Low","Midlands & East Anglia","No"
"Male",60,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Female",50,"Married","Without","British","Low","Midlands & East Anglia","No"
"Female",24,"Single","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Female",78,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Male",60,"Single","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",85,"Separated","Sub Degree","English","Low","Midlands & East Anglia","Yes"
"Male",59,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Male",65,"Married","University","English","High","Midlands & East Anglia","No"
"Female",32,"Married","ONC","British","Moderate","Midlands & East Anglia","No"
"Male",41,"Single","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",31,"Single","Sub Degree","British","Moderate","Midlands & East Anglia","No"
"Male",45,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",30,"Single","University","British","Moderate","Midlands & East Anglia","No"
"Female",19,"Single","A Levels","English","Low","Midlands & East Anglia","No"
"Female",76,"Separated","GCSE","British","Low","Midlands & East Anglia","No"
"Male",73,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Male",34,"Married","University","English","High","Midlands & East Anglia","No"
"Female",59,"Married","Without","British","Low","Midlands & East Anglia","No"
"Female",22,"Single","GCSE","English","Low","Midlands & East Anglia","Yes"
"Female",27,"Single","University","British","Moderate","Midlands & East Anglia","No"
"Female",45,"Married","A Levels","British","Moderate","Midlands & East Anglia","No"
"Female",69,"Separated","Sub Degree","Other","Moderate","Midlands & East Anglia","No"
"Male",76,"Married","University","Other","High","Midlands & East Anglia","No"
"Female",54,"Married","University","British","High","Midlands & East Anglia","No"
"Male",72,"Married","University","British","Low","Midlands & East Anglia","No"
"Female",89,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",39,"Married","A Levels","British","Moderate","Midlands & East Anglia","No"
"Male",28,"Single","GCSE","British","Low","Midlands & East Anglia","Yes"
"Male",23,"Single","GCSE","English","Low","Midlands & East Anglia","Yes"
"Male",26,"Single","A Levels","British","Moderate","Midlands & East Anglia","No"
"Female",52,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",54,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Male",20,"Single","A Levels","British","Moderate","Midlands & East Anglia","Yes"
"Male",30,"Married","ONC","British","Moderate","Midlands & East Anglia","No"
"Male",41,"Married","GCSE","Scottish","Moderate","Midlands & East Anglia","No"
"Female",26,"Single","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",27,"Married","GCSE","Welsh","Low","Midlands & East Anglia","No"
"Male",29,"Single","ONC","English","Moderate","Midlands & East Anglia","No"
"Female",36,"Separated","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",43,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",29,"Single","ONC","English","Moderate","Midlands & East Anglia","No"
"Female",34,"Separated","GCSE","English","Low","Midlands & East Anglia","Yes"
"Female",30,"Single","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Male",25,"Single","University","English","Moderate","Midlands & East Anglia","Yes"
"Male",59,"Separated","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",44,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Male",40,"Single","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",65,"Single","A Levels","Other","Moderate","Midlands & East Anglia","No"
"Male",72,"Married","Without","Other","Moderate","Midlands & East Anglia","No"
"Female",29,"Married","University","British","Low","Midlands & East Anglia","No"
"Male",39,"Married","Without","British","High","Midlands & East Anglia","No"
"Male",70,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Male",73,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",46,"Single","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",59,"Married","ONC","English","Low","Midlands & East Anglia","No"
"Female",77,"Separated","Without","British","Low","Midlands & East Anglia","No"
"Female",42,"Married","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Male",41,"Married","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",49,"Married","A Levels","British","Moderate","Midlands & East Anglia","Yes"
"Male",67,"Single","University","English","Moderate","Midlands & East Anglia","No"
"Female",65,"Single","Without","English","Low","Midlands & East Anglia","No"
"Male",40,"Single","Without","English","Moderate","Midlands & East Anglia","No"
"Male",49,"Separated","GCSE","English","High","Midlands & East Anglia","No"
"Male",34,"Single","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",64,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",44,"Separated","University","Other","Moderate","Midlands & East Anglia","No"
"Female",72,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",32,"Married","A Levels","English","Moderate","Midlands & East Anglia","Yes"
"Female",50,"Married","A Levels","British","Moderate","Midlands & East Anglia","No"
"Female",63,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",57,"Married","University","English","Low","Midlands & East Anglia","No"
"Female",88,"Separated","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Male",57,"Married","University","British","High","Midlands & East Anglia","No"
"Female",54,"Married","University","British","High","Midlands & East Anglia","No"
"Female",58,"Separated","Without","English","Moderate","Midlands & East Anglia","No"
"Female",77,"Separated","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",45,"Separated","GCSE","Other","Moderate","Midlands & East Anglia","No"
"Female",31,"Single","GCSE","British","Low","Midlands & East Anglia","No"
"Male",31,"Married","ONC","English","Moderate","Midlands & East Anglia","No"
"Male",80,"Separated","University","British","High","Midlands & East Anglia","No"
"Male",67,"Separated","University","English","Moderate","Midlands & East Anglia","Yes"
"Female",28,"Single","GCSE","English","Low","Midlands & East Anglia","Yes"
"Male",30,"Married","GCSE","Other","High","Midlands & East Anglia","No"
"Male",57,"Married","University","British","High","Midlands & East Anglia","No"
"Female",76,"Separated","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",89,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",81,"Married","Without","British","Low","Midlands & East Anglia","No"
"Female",30,"Single","ONC","British","Moderate","Midlands & East Anglia","No"
"Female",39,"Single","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",73,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",76,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",62,"Single","Without","English","Low","Midlands & East Anglia","No"
"Female",66,"Married","A Levels","English","Low","Midlands & East Anglia","No"
"Female",53,"Separated","University","British","High","Midlands & East Anglia","No"
"Male",60,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Female",36,"Married","GCSE","British","Low","Midlands & East Anglia","No"
"Female",40,"Single","GCSE","British","Moderate","Midlands & East Anglia","No"
"Female",57,"Separated","Without","English","High","Midlands & East Anglia","Yes"
"Male",16,"Single","Without","English","Low","Midlands & East Anglia","Yes"
"Female",25,"Single","GCSE","English","Moderate","Midlands & East Anglia","No"
"Male",58,"Single","Without","English","Moderate","Midlands & East Anglia","No"
"Female",49,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",48,"Single","University","English","Moderate","Midlands & East Anglia","No"
"Female",76,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",88,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",35,"Married","A Levels","British","Moderate","Midlands & East Anglia","No"
"Male",43,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Female",69,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",64,"Separated","Without","English","Low","Midlands & East Anglia","Yes"
"Female",40,"Separated","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Male",58,"Married","University","British","High","Midlands & East Anglia","No"
"Female",34,"Married","University","British","Low","Midlands & East Anglia","Yes"
"Female",46,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Female",65,"Married","Without","English","Moderate","Midlands & East Anglia","No"
"Female",34,"Single","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Female",40,"Separated","GCSE","British","Low","Midlands & East Anglia","No"
"Male",36,"Married","Without","British","Moderate","Midlands & East Anglia","No"
"Female",39,"Married","Without","Other","Low","Midlands & East Anglia","No"
"Male",24,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",28,"Single","Sub Degree","English","Low","Midlands & East Anglia","Yes"
"Female",26,"Single","A Levels","English","Low","Midlands & East Anglia","No"
"Female",45,"Separated","GCSE","English","Low","Midlands & East Anglia","No"
"Female",24,"Single","GCSE","English","Low","Midlands & East Anglia","Yes"
"Male",77,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",78,"Married","Sub Degree","Welsh","Moderate","Midlands & East Anglia","No"
"Male",36,"Married","GCSE","British","Moderate","Midlands & East Anglia","No"
"Male",55,"Married","GCSE","British","High","Midlands & East Anglia","No"
"Female",70,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",43,"Single","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",59,"Separated","Without","British","Moderate","Midlands & East Anglia","No"
"Female",32,"Married","Sub Degree","British","Low","Midlands & East Anglia","No"
"Female",34,"Married","University","British","Low","Midlands & East Anglia","No"
"Male",58,"Single","University","British","High","Midlands & East Anglia","No"
"Male",44,"Married","GCSE","British","High","Midlands & East Anglia","No"
"Female",34,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Male",38,"Married","University","British","High","Midlands & East Anglia","No"
"Male",28,"Single","GCSE","British","High","Midlands & East Anglia","No"
"Male",42,"Married","GCSE","English","Moderate","Midlands & East Anglia","No"
"Female",34,"Single","University","Other","Moderate","Midlands & East Anglia","No"
"Male",23,"Single","ONC","English","Low","Midlands & East Anglia","Yes"
"Male",55,"Separated","University","British","Moderate","Midlands & East Anglia","No"
"Male",65,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Female",62,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",66,"Married","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",73,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",34,"Single","Sub Degree","English","Moderate","Midlands & East Anglia","No"
"Female",33,"Married","University","English","Low","Midlands & East Anglia","No"
"Male",76,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",55,"Married","Without","English","Low","Midlands & East Anglia","Yes"
"Female",39,"Married","University","English","Low","Midlands & East Anglia","No"
"Female",26,"Single","University","British","Moderate","Midlands & East Anglia","No"
"Male",61,"Married","GCSE","English","Moderate","Midlands & East Anglia","Yes"
"Female",78,"Married","Sub Degree","English","Low","Midlands & East Anglia","No"
"Male",42,"Married","University","English","High","Midlands & East Anglia","No"
"Female",72,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",62,"Separated","Without","English","Moderate","Midlands & East Anglia","Yes"
"Female",46,"Married","GCSE","British","Moderate","Midlands & East Anglia","Yes"
"Male",24,"Single","A Levels","British","Moderate","Midlands & East Anglia","No"
"Male",27,"Single","University","British","Moderate","Midlands & East Anglia","Yes"
"Female",64,"Married","GCSE","British","Low","Midlands & East Anglia","No"
"Male",86,"Married","University","English","High","Midlands & East Anglia","No"
"Female",46,"Married","University","British","Moderate","Midlands & East Anglia","No"
"Male",20,"Single","ONC","British","Moderate","Midlands & East Anglia","Yes"
"Male",35,"Separated","Sub Degree","Other","High","Midlands & East Anglia","No"
"Female",46,"Married","Sub Degree","Other","High","Midlands & East Anglia","Yes"
"Female",39,"Married","Sub Degree","Other","Low","Midlands & East Anglia","No"
"Female",28,"Married","GCSE","English","High","Midlands & East Anglia","No"
"Female",39,"Separated","GCSE","English","Low","Midlands & East Anglia","No"
"Male",45,"Separated","GCSE","British","Moderate","Midlands & East Anglia","No"
"Female",37,"Separated","Sub Degree","British","Moderate","Midlands & East Anglia","No"
"Male",29,"Married","ONC","English","Moderate","Midlands & East Anglia","Yes"
"Male",76,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",26,"Married","University","English","Moderate","Midlands & East Anglia","No"
"Female",47,"Separated","University","English","Moderate","Midlands & East Anglia","Yes"
"Male",72,"Separated","Without","English","Moderate","Midlands & East Anglia","No"
"Female",72,"Married","Without","English","Low","Midlands & East Anglia","No"
"Female",65,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Female",69,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",61,"Separated","Without","English","Low","Midlands & East Anglia","No"
"Male",18,"Single","GCSE","English","Low","Midlands & East Anglia","No"
"Male",76,"Single","Without","English","Low","Midlands & East Anglia","No"
"Male",65,"Married","GCSE","English","Low","Midlands & East Anglia","No"
"Female",52,"Married","Without","English","Low","Midlands & East Anglia","No"
"Male",64,"Separated","Without","English","Moderate","Midlands & East Anglia","No"
"Female",42,"Married","GCSE","British","Low","Midlands & East Anglia","No"
"Male",40,"Married","University","Other","High","London","No"
"Female",28,"Married","Sub Degree","English","Moderate","London","No"
"Male",40,"Married","University","Welsh","High","London","No"
"Male",48,"Married","GCSE","British","High","London","No"
"Male",35,"Separated","University","Other","Moderate","London","No"
"Female",30,"Single","University","British","Low","London","Yes"
"Female",26,"Single","University","British","Low","London","No"
"Male",81,"Separated","Without","English","Low","London","No"
"Male",77,"Separated","A Levels","English","Moderate","London","No"
"Female",25,"Single","University","British","Moderate","London","No"
"Female",66,"Married","Without","British","Low","London","No"
"Male",18,"Single","A Levels","British","Low","London","Yes"
"Male",43,"Married","GCSE","British","Moderate","London","No"
"Male",49,"Separated","Sub Degree","English","Low","London","Yes"
"Male",29,"Married","University","English","High","London","No"
"Female",20,"Single","Without","English","Low","London","No"
"Female",75,"Separated","Sub Degree","English","Low","London","Yes"
"Male",40,"Married","Without","Other","Moderate","London","No"
"Female",64,"Single","Sub Degree","Other","Low","London","No"
"Female",34,"Single","University","British","Low","London","No"
"Female",76,"Separated","University","British","High","London","No"
"Male",30,"Married","University","English","High","London","Yes"
"Male",55,"Married","University","Other","High","London","No"
"Female",49,"Single","GCSE","English","Low","London","No"
"Male",38,"Separated","University","English","Moderate","London","No"
"Male",77,"Married","University","Welsh","Moderate","London","No"
"Male",46,"Single","University","Other","Moderate","London","Yes"
"Female",26,"Separated","Sub Degree","British","Low","London","No"
"Female",26,"Single","University","Other","High","London","Yes"
"Male",45,"Single","University","Other","High","London","Yes"
"Female",45,"Single","Without","Other","Low","London","No"
"Female",47,"Married","GCSE","English","Low","London","No"
"Female",75,"Separated","Sub Degree","English","Moderate","London","Yes"
"Female",36,"Separated","Without","English","Low","London","Yes"
"Male",26,"Single","University","British","Low","London","No"
"Male",71,"Separated","Without","English","Low","London","Yes"
"Male",69,"Married","Without","British","Low","London","Yes"
"Male",38,"Single","A Levels","Other","High","London","Yes"
"Male",26,"Single","Without","British","Moderate","London","No"
"Female",56,"Separated","Without","Other","Low","London","No"
"Male",34,"Single","University","English","High","London","Yes"
"Female",66,"Separated","Without","English","Low","London","No"
"Female",32,"Single","GCSE","English","Low","London","Yes"
"Female",77,"Single","Without","English","Low","London","No"
"Female",70,"Married","Without","English","Low","London","No"
"Male",24,"Single","GCSE","English","Low","London","Yes"
"Female",81,"Separated","Without","British","Low","London","No"
"Male",37,"Separated","Sub Degree","Other","Low","London","No"
"Male",90,"Married","Without","English","Low","London","No"
"Female",29,"Single","GCSE","Other","Low","London","Yes"
"Female",24,"Single","A Levels","Other","Low","London","No"
"Male",81,"Separated","Without","English","Low","London","No"
"Female",38,"Separated","ONC","Other","Low","London","No"
"Male",22,"Single","GCSE","Other","Moderate","London","Yes"
"Male",31,"Married","GCSE","British","Low","London","No"
"Female",77,"Separated","Without","Other","Low","London","No"
"Female",61,"Separated","Without","Other","Moderate","London","Yes"
"Male",54,"Single","Without","English","Low","London","No"
"Female",72,"Separated","Without","British","Low","London","No"
"Male",66,"Single","Without","British","Low","London","Yes"
"Male",47,"Single","ONC","British","Moderate","London","No"
"Female",76,"Separated","Without","English","Low","London","No"
"Male",41,"Married","A Levels","English","Moderate","London","No"
"Female",80,"Separated","Without","English","Low","London","No"
"Female",63,"Married","Without","English","Low","London","No"
"Male",29,"Married","Without","English","Moderate","London","No"
"Female",40,"Single","GCSE","Other","Moderate","London","No"
"Female",54,"Married","Without","English","Moderate","London","No"
"Male",66,"Married","University","British","Moderate","London","Yes"
"Male",69,"Married","Sub Degree","Other","Moderate","London","No"
"Male",51,"Married","Without","British","Moderate","London","No"
"Male",70,"Separated","Without","English","Low","London","No"
"Female",36,"Married","GCSE","British","Low","London","Yes"
"Female",73,"Married","Without","English","Low","London","No"
"Male",72,"Married","Sub Degree","British","Low","London","No"
"Female",18,"Single","GCSE","English","Low","London","No"
"Female",57,"Married","Sub Degree","British","Low","London","No"
"Male",64,"Married","University","British","Low","London","No"
"Female",39,"Married","GCSE","English","Moderate","London","No"
"Female",37,"Separated","GCSE","British","Low","London","No"
"Female",36,"Married","GCSE","British","Low","London","Yes"
"Female",37,"Married","University","English","Moderate","London","No"
"Male",79,"Married","Without","English","Low","London","No"
"Female",49,"Married","GCSE","English","Low","London","No"
"Female",30,"Married","GCSE","English","Low","London","No"
"Female",27,"Single","University","Welsh","Moderate","London","No"
"Male",16,"Single","GCSE","English","Low","London","No"
"Male",40,"Married","GCSE","English","High","London","No"
"Female",45,"Separated","GCSE","English","Moderate","London","No"
"Female",78,"Separated","Sub Degree","English","Low","London","No"
"Female",59,"Married","Sub Degree","English","Low","London","No"
"Female",33,"Married","A Levels","English","Moderate","London","No"
"Female",57,"Separated","Without","British","Moderate","London","No"
"Female",53,"Single","Without","English","Low","London","Yes"
"Female",54,"Separated","Sub Degree","English","Low","London","No"
"Female",33,"Married","A Levels","Other","High","London","No"
"Female",52,"Single","Sub Degree","Other","Low","London","No"
"Male",31,"Single","Sub Degree","English","Moderate","London","No"
"Female",54,"Married","University","British","High","London","No"
"Female",41,"Married","Sub Degree","British","Moderate","London","Yes"
"Female",23,"Single","GCSE","English","Moderate","London","No"
"Female",81,"Separated","GCSE","British","Low","London","No"
"Male",73,"Married","Without","British","High","London","No"
"Male",62,"Married","Without","English","Moderate","London","No"
"Female",73,"Married","University","Scottish","Moderate","London","Yes"
"Male",22,"Single","ONC","English","Moderate","London","Yes"
"Female",18,"Single","A Levels","English","Low","London","No"
"Female",86,"Separated","GCSE","Other","Moderate","London","Yes"
"Female",54,"Married","University","British","Moderate","London","Yes"
"Female",55,"Married","University","British","Moderate","London","No"
"Female",22,"Single","University","English","Moderate","London","Yes"
"Female",30,"Married","ONC","British","Low","London","No"
"Female",25,"Single","University","Other","Low","London","No"
"Female",54,"Separated","Sub Degree","British","Low","London","Yes"
"Male",36,"Single","GCSE","English","Moderate","London","No"
"Female",40,"Married","Sub Degree","Other","Low","London","No"
"Female",51,"Separated","GCSE","British","Low","London","Yes"
"Male",44,"Married","University","British","Moderate","London","No"
"Female",26,"Single","University","Other","Low","London","Yes"
"Male",73,"Married","ONC","English","Low","London","No"
"Female",36,"Married","GCSE","English","Moderate","London","No"
"Male",69,"Separated","Without","Other","Low","London","No"
"Female",41,"Married","University","British","Moderate","London","No"
"Male",40,"Married","University","Other","High","London","No"
"Male",82,"Married","Sub Degree","Other","Low","London","Yes"
"Male",27,"Single","University","British","Moderate","London","No"
"Female",35,"Single","University","English","Moderate","London","No"
"Male",35,"Married","University","English","High","London","No"
"Male",33,"Married","Sub Degree","Other","High","London","No"
"Female",41,"Separated","Without","British","Low","London","Yes"
"Female",26,"Separated","Sub Degree","British","Low","London","No"
"Male",18,"Single","GCSE","Other","Low","London","No"
"Female",68,"Married","GCSE","British","Low","London","No"
